nombre,razon_social,cuit,telefono,email
CESKIAVIKUS JORGE ROBERTO,CESKIAVIKUS JORGE ROBERTO,-,-,-
CHEMPO COMPANY,CHEMPO COMPANY S.R.L.,-,-,-
CHEVRO GUILLON,RULLO DIEGO FABIAN,-,-,-
CINGOLANI ,GABRIEL CINGOLANI Y GUSTAVO CINGOLANI S.H.,-,-,-
COINGAS,COINGAS S.A.,-,-,-
COMPRESORES TEMPERLEY,ROSA JUAN ANTONIO,-,-,-
CONSTRUMUNDO,CONSTRUMUNDO S.A.,-,-,-
CYLGEM,CYLGEM S.A.,-,-,-
DACI,RIVERO SILVERIO OSCAR,-,-,-
DALIS,DALIS S.R.L.,-,-,-
DANIEL SALINAS,SALINAS DANIEL BERNARDINO,-,-,-
DEELS,DEELS METALES Y PLASTICOS S.R.L.,-,-,-
DI GILIO,DI GILIO ROQUE ANTONIO,-,-,-
DI GILIO,DI GILIO HERMANOS E HIJOS S.A.,-,-,-
DI PRIMO,ACCESORIOS DI PRIMO S.R.L.,-,-,-
DIAZ KARINA HAYDEE,DIAZ KARINA HAYDEE,-,-,-
DICA,INDUSTRIAS DICA S.R.L.,-,-,-
DISTRIBUIDORA BAUDA,BALDONI BARLOS MAXIMILIANO,-,-,-
DISTRIBUIDORA DIEZ,SUSANA BEATRIZ LUGARO,-,-,-
DISTRIBUIDORA VIP  ,DISTRIBUIDORA VIP S.R.L.,-,-,-
DISTROPAR,DISTROPAR S.A.,-,-,-
ECONOVO ,OSCAR SCORZA EQUIPOS Y SERVICIOS S.R.L.,-,-,-
EL CERROJO,PASSERA LUIS ALBERTO,-,-,-
EL PIONERO,AGUERO DANIELA ESTER,-,-,-
EL REGISTRADOR,RELOJES EL REGISTRADOR SA,-,-,-
EL RUTERIO,HOZ MARIEL Y HOZ LAURA S.H.,-,-,-
ELECTRO TRAILER,ELECTRO TRAILER S.R.L.,-,-,-
ELECTROMECANICA SUR,ELECTROMECANICA SUR DE H.A.DA RESSURREICAO ,-,-,-
ESTACION BIG BLUE,ESTACION BIG BLUE SA,-,-,-
EXUBARA ,JUAN MANUEL CEDEIRA,-,-,-
FABIO,FABIO HNOS. S.A.,-,-,-
FERREMAX,GODOY ALCARAZ SILVINA ELIZABETH Y GODOY MIGUEL ALEJANDRO SOCIEDAD LEY 19550 CAPITULO I SECCION IV,-,-,-
